affy_Mouse430_2
Genbank Acc	GO
AY028963	GO:0003677(DNA binding) GO:0005634(nucleus) GO:0008270(zinc ion binding) GO:0046872(metal ion binding)
AF342896	GO:0004872(receptor activity) GO:0005515(protein binding) GO:0005529(sugar binding) GO:0005887(integral to plasma membrane) GO:0009897(external side of plasma membrane) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0042803(protein homodimerization activity) GO:0045953(negative regulation of natural killer cell mediated cytotoxicity) GO:0045954(positive regulation of natural killer cell mediated cytotoxicity)
AF342896	GO:0004872(receptor activity) GO:0005515(protein binding) GO:0005529(sugar binding) GO:0005887(integral to plasma membrane) GO:0009897(external side of plasma membrane) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0042803(protein homodimerization activity) GO:0045953(negative regulation of natural killer cell mediated cytotoxicity) GO:0045954(positive regulation of natural killer cell mediated cytotoxicity)
AF342896	GO:0004872(receptor activity) GO:0005515(protein binding) GO:0005529(sugar binding) GO:0005887(integral to plasma membrane) GO:0009897(external side of plasma membrane) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0042803(protein homodimerization activity) GO:0045953(negative regulation of natural killer cell mediated cytotoxicity) GO:0045954(positive regulation of natural killer cell mediated cytotoxicity)
NM_011141	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0042552(myelination) GO:0043565(sequence-specific DNA binding) GO:0045449(regulation of transcription)
NM_008559	
NM_011996	
AF026794	
NM_008184	
AB028499	
NM_007673	GO:0000794(condensed nuclear chromosome) GO:0001568(blood vessel development) GO:0001824(blastocyst development) GO:0001890(placenta development) GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0005667(transcription factor complex) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007275(development) GO:0007389(pattern specification) GO:0009887(organ morphogenesis) GO:0030154(cell differentiation) GO:0043565(sequence-specific DNA binding) GO:0045449(regulation of transcription)
NM_007673	GO:0000794(condensed nuclear chromosome) GO:0001568(blood vessel development) GO:0001824(blastocyst development) GO:0001890(placenta development) GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0005667(transcription factor complex) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007275(development) GO:0007389(pattern specification) GO:0009887(organ morphogenesis) GO:0030154(cell differentiation) GO:0043565(sequence-specific DNA binding) GO:0045449(regulation of transcription)
AA571017	
AA571017	
AF124142	GO:0000166(nucleotide binding) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004702(receptor signaling protein serine/threonine kinase activity) GO:0004713(protein-tyrosine kinase activity) GO:0005351(sugar porter activity) GO:0005515(protein binding) GO:0005524(ATP binding) GO:0005622(intracellular) GO:0005634(nucleus) GO:0005737(cytoplasm) GO:0005819(spindle) GO:0005886(plasma membrane) GO:0005975(carbohydrate metabolism) GO:0005977(glycogen metabolism) GO:0005978(glycogen biosynthesis) GO:0006006(glucose metabolism) GO:0006417(regulation of protein biosynthesis) GO:0006445(regulation of translation) GO:0006468(protein amino acid phosphorylation) GO:0006810(transport) GO:0006915(apoptosis) GO:0006916(anti-apoptosis) GO:0006954(inflammatory response) GO:0007281(germ cell development) GO:0007424(tracheal system development (sensu Insecta)) GO:0008286(insulin receptor signaling pathway) GO:0008360(regulation of cell shape) GO:0008361(regulation of cell size) GO:0008362(embryonic cuticle biosynthesis (sensu Insecta)) GO:0008637(apoptotic mitochondrial changes) GO:0016301(kinase activity) GO:0016567(protein ubiquitination) GO:0016740(transferase activity) GO:0030027(lamellipodium) GO:0030163(protein catabolism) GO:0030307(positive regulation of cell growth) GO:0035091(phosphoinositide binding) GO:0040014(regulation of body size) GO:0040018(positive regulation of body size) GO:0042306(regulation of protein import into nucleus) GO:0042640(anagen) GO:0043066(negative regulation of apoptosis) GO:0045793(positive regulation of cell size) GO:0045884(regulation of survival gene product activity) GO:0046328(regulation of JNK cascade) GO:0046620(regulation of organ size) GO:0046622(positive regulation of organ size) EC 2 EC 2.7.1.37 EC 2.7.10.2
NM_008856	GO:0000166(nucleotide binding) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004699(calcium-independent protein kinase C activity) GO:0004713(protein-tyrosine kinase activity) GO:0005524(ATP binding) GO:0005634(nucleus) GO:0005737(cytoplasm) GO:0006468(protein amino acid phosphorylation) GO:0007242(intracellular signaling cascade) GO:0007635(chemosensory behavior) GO:0008270(zinc ion binding) GO:0016301(kinase activity) GO:0016740(transferase activity) GO:0019992(diacylglycerol binding) GO:0046872(metal ion binding) GO:0050730(regulation of peptidyl-tyrosine phosphorylation) EC 2 EC 2.7.1.37 EC 2.7.10.2
NM_008371	GO:0005125(cytokine activity) GO:0005126(hematopoietin/interferon-class (D200-domain) cytokine receptor binding) GO:0005139(interleukin-7 receptor binding) GO:0005576(extracellular region) GO:0005615(extracellular space) GO:0006955(immune response) GO:0008083(growth factor activity) GO:0030890(positive regulation of B cell proliferation) GO:0043066(negative regulation of apoptosis) GO:0045453(bone resorption) GO:0045582(positive regulation of T cell differentiation)
NM_024291	GO:0007517(muscle development) GO:0007528(neuromuscular junction development)
NM_010913	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0006357(regulation of transcription from RNA polymerase II promoter) GO:0016563(transcriptional activator activity) GO:0045893(positive regulation of transcription, DNA-dependent) GO:0045944(positive regulation of transcription from RNA polymerase II promoter)
AF348140	
AF012104	
BG069348	
BG069348	
BI687857	
BI687857	
NM_010746	
BC018418	
BC018418	
BC018418	
NM_009522	GO:0001756(somitogenesis) GO:0001947(heart looping) GO:0004871(signal transducer activity) GO:0005102(receptor binding) GO:0005515(protein binding) GO:0005576(extracellular region) GO:0005578(extracellular matrix (sensu Metazoa)) GO:0005615(extracellular space) GO:0007165(signal transduction) GO:0007223(frizzled-2 signaling pathway) GO:0007267(cell-cell signaling) GO:0007275(development) GO:0007368(determination of left/right symmetry) GO:0007409(axonogenesis) GO:0009887(organ morphogenesis) GO:0009952(anterior/posterior pattern formation) GO:0016055(Wnt receptor signaling pathway) GO:0030097(hemopoiesis) GO:0030879(mammary gland development) GO:0042472(inner ear morphogenesis) GO:0045595(regulation of cell differentiation) GO:0048103(somatic stem cell division)
NM_026046	GO:0000004(biological process unknown) GO:0005554(molecular function unknown) GO:0008372(cellular component unknown)
AK004595	
AK017057	
AK017057	
NM_007395	GO:0000166(nucleotide binding) GO:0000287(magnesium ion binding) GO:0001655(urogenital system development) GO:0001701(embryonic development (sensu Mammalia)) GO:0001755(neural crest cell migration) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004675(transmembrane receptor protein serine/threonine kinase activity) GO:0004702(receptor signaling protein serine/threonine kinase activity) GO:0004713(protein-tyrosine kinase activity) GO:0004872(receptor activity) GO:0005024(transforming growth factor beta receptor activity) GO:0005515(protein binding) GO:0005524(ATP binding) GO:0005615(extracellular space) GO:0005887(integral to plasma membrane) GO:0006468(protein amino acid phosphorylation) GO:0007178(transmembrane receptor protein serine/threonine kinase signaling pathway) GO:0007179(transforming growth factor beta receptor signaling pathway) GO:0007281(germ cell development) GO:0007368(determination of left/right symmetry) GO:0007507(heart development) GO:0008354(germ cell migration) GO:0009790(embryonic development) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016301(kinase activity) GO:0016361(activin receptor activity, type I) GO:0016740(transferase activity) GO:0030145(manganese ion binding) GO:0030199(collagen fibril organization) GO:0046872(metal ion binding) GO:0048663(neuron fate commitment) GO:0050431(transforming growth factor beta binding) EC 2 EC 2.7.1.37 EC 2.7.10.2
X91813	GO:0001584(rhodopsin-like receptor activity) GO:0004871(signal transducer activity) GO:0004872(receptor activity) GO:0004930(G-protein coupled receptor activity) GO:0004983(neuropeptide Y receptor activity) GO:0004985(opioid receptor activity) GO:0004986(delta-opioid receptor activity) GO:0004988(mu-opioid receptor activity) GO:0005624(membrane fraction) GO:0007165(signal transduction) GO:0007186(G-protein coupled receptor protein signaling pathway) GO:0007191(dopamine receptor, adenylate cyclase activating pathway) GO:0007193(G-protein signaling, adenylate cyclase inhibiting pathway) GO:0007218(neuropeptide signaling pathway) GO:0007610(behavior) GO:0008344(adult locomotory behavior) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0045028(purinergic nucleotide receptor activity, G-protein coupled)
NM_007824	GO:0004497(monooxygenase activity) GO:0005506(iron ion binding) GO:0005783(endoplasmic reticulum) GO:0005792(microsome) GO:0006118(electron transport) GO:0006629(lipid metabolism) GO:0006707(cholesterol catabolism) GO:0008123(cholesterol 7-alpha-monooxygenase activity) GO:0008202(steroid metabolism) GO:0008203(cholesterol metabolism) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016491(oxidoreductase activity) GO:0020037(heme binding) GO:0046872(metal ion binding) EC 1 EC 1.14.13.17
NM_024290	
BC024319	GO:0001553(luteinization) GO:0001779(natural killer cell differentiation) GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0004871(signal transducer activity) GO:0005509(calcium ion binding) GO:0005515(protein binding) GO:0005634(nucleus) GO:0005737(cytoplasm) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007165(signal transduction) GO:0007242(intracellular signaling cascade) GO:0007259(JAK-STAT cascade) GO:0007565(pregnancy) GO:0007595(lactation) GO:0008284(positive regulation of cell proliferation) GO:0019218(regulation of steroid metabolism) GO:0019221(cytokine and chemokine mediated signaling pathway) GO:0019915(sequestering of lipid) GO:0030155(regulation of cell adhesion) GO:0030856(regulation of epithelial cell differentiation) GO:0030879(mammary gland development) GO:0040018(positive regulation of body size) GO:0042104(positive regulation of activated T cell proliferation) GO:0042448(progesterone metabolism) GO:0043029(T cell homeostasis) GO:0043066(negative regulation of apoptosis) GO:0045086(positive regulation of interleukin-2 biosynthesis) GO:0045579(positive regulation of B cell differentiation) GO:0045647(negative regulation of erythrocyte differentiation) GO:0045885(positive regulation of survival gene product activity) GO:0045931(positive regulation of progression through mitotic cell cycle) GO:0045944(positive regulation of transcription from RNA polymerase II promoter) GO:0046543(development of secondary female sexual characteristics) GO:0046544(development of secondary male sexual characteristics) GO:0050729(positive regulation of inflammatory response)
BC024319	GO:0001553(luteinization) GO:0001779(natural killer cell differentiation) GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0004871(signal transducer activity) GO:0005509(calcium ion binding) GO:0005515(protein binding) GO:0005634(nucleus) GO:0005737(cytoplasm) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007165(signal transduction) GO:0007242(intracellular signaling cascade) GO:0007259(JAK-STAT cascade) GO:0007565(pregnancy) GO:0007595(lactation) GO:0008284(positive regulation of cell proliferation) GO:0019218(regulation of steroid metabolism) GO:0019221(cytokine and chemokine mediated signaling pathway) GO:0019915(sequestering of lipid) GO:0030155(regulation of cell adhesion) GO:0030856(regulation of epithelial cell differentiation) GO:0030879(mammary gland development) GO:0040018(positive regulation of body size) GO:0042104(positive regulation of activated T cell proliferation) GO:0042448(progesterone metabolism) GO:0043029(T cell homeostasis) GO:0043066(negative regulation of apoptosis) GO:0045086(positive regulation of interleukin-2 biosynthesis) GO:0045579(positive regulation of B cell differentiation) GO:0045647(negative regulation of erythrocyte differentiation) GO:0045885(positive regulation of survival gene product activity) GO:0045931(positive regulation of progression through mitotic cell cycle) GO:0045944(positive regulation of transcription from RNA polymerase II promoter) GO:0046543(development of secondary female sexual characteristics) GO:0046544(development of secondary male sexual characteristics) GO:0050729(positive regulation of inflammatory response)
AF391758	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007275(development) GO:0007600(sensory perception) GO:0007601(visual perception) GO:0043565(sequence-specific DNA binding) GO:0045449(regulation of transcription)
NM_007648	GO:0001772(immunological synapse) GO:0004871(signal transducer activity) GO:0004872(receptor activity) GO:0004888(transmembrane receptor activity) GO:0005515(protein binding) GO:0005886(plasma membrane) GO:0007166(cell surface receptor linked signal transduction) GO:0009897(external side of plasma membrane) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0042101(T cell receptor complex) GO:0042102(positive regulation of T cell proliferation) GO:0042105(alpha-beta T cell receptor complex) GO:0045060(negative thymic T cell selection) GO:0050731(positive regulation of peptidyl-tyrosine phosphorylation) GO:0050850(positive regulation of calcium-mediated signaling) GO:0050852(T cell receptor signaling pathway)
NM_013539	
NM_026629	
NM_080464	
NM_009055	
NM_021877	
BE631540	GO:0001584(rhodopsin-like receptor activity) GO:0004871(signal transducer activity) GO:0004872(receptor activity) GO:0004930(G-protein coupled receptor activity) GO:0005515(protein binding) GO:0007165(signal transduction) GO:0007186(G-protein coupled receptor protein signaling pathway) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016493(C-C chemokine receptor activity) GO:0016494(C-X-C chemokine receptor activity)
BE631540	GO:0001584(rhodopsin-like receptor activity) GO:0004871(signal transducer activity) GO:0004872(receptor activity) GO:0004930(G-protein coupled receptor activity) GO:0005515(protein binding) GO:0007165(signal transduction) GO:0007186(G-protein coupled receptor protein signaling pathway) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016493(C-C chemokine receptor activity) GO:0016494(C-X-C chemokine receptor activity)
AF380353	GO:0005215(transporter activity) GO:0006810(transport) GO:0006811(ion transport) GO:0006814(sodium ion transport) GO:0008507(sodium:iodide symporter activity) GO:0015293(symporter activity) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0031402(sodium ion binding)
NM_010155	
L23636	
NM_008032	
NM_133235	
NM_023485	
NM_011229	GO:0000166(nucleotide binding) GO:0001726(ruffle) GO:0003924(GTPase activity) GO:0003928(RAB small monomeric GTPase activity) GO:0005525(GTP binding) GO:0005769(early endosome) GO:0005770(late endosome) GO:0005886(plasma membrane) GO:0006810(transport) GO:0006886(intracellular protein transport) GO:0006897(endocytosis) GO:0007032(endosome organization and biogenesis) GO:0007264(small GTPase mediated signal transduction) GO:0015031(protein transport) GO:0016020(membrane) GO:0019001(guanyl nucleotide binding) GO:0030100(regulation of endocytosis) GO:0030139(endocytic vesicle) GO:0031338(regulation of vesicle fusion) GO:0045121(lipid raft)
AY034479	
L06322	GO:0001584(rhodopsin-like receptor activity) GO:0004871(signal transducer activity) GO:0004872(receptor activity) GO:0004930(G-protein coupled receptor activity) GO:0004983(neuropeptide Y receptor activity) GO:0004985(opioid receptor activity) GO:0004986(delta-opioid receptor activity) GO:0004988(mu-opioid receptor activity) GO:0005624(membrane fraction) GO:0007165(signal transduction) GO:0007186(G-protein coupled receptor protein signaling pathway) GO:0007191(dopamine receptor, adenylate cyclase activating pathway) GO:0007193(G-protein signaling, adenylate cyclase inhibiting pathway) GO:0007218(neuropeptide signaling pathway) GO:0007610(behavior) GO:0008344(adult locomotory behavior) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0045028(purinergic nucleotide receptor activity, G-protein coupled)
M99371	GO:0004872(receptor activity) GO:0005529(sugar binding) GO:0006952(defense response) GO:0009897(external side of plasma membrane) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0019863(IgE binding)
NM_011926	
NM_011210	GO:0004721(phosphoprotein phosphatase activity) GO:0004725(protein tyrosine phosphatase activity) GO:0004872(receptor activity) GO:0005515(protein binding) GO:0006470(protein amino acid dephosphorylation) GO:0009897(external side of plasma membrane) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016787(hydrolase activity) GO:0030183(B cell differentiation) GO:0030217(T cell differentiation) GO:0042098(T cell proliferation) GO:0042100(B cell proliferation) EC 3 EC 3.1.3.16 EC 3.1.3.48
NM_008311	
NM_026341	
NM_007857	GO:0001569(patterning of blood vessels) GO:0001570(vasculogenesis) GO:0001656(metanephros development) GO:0001658(ureteric bud branching) GO:0001708(cell fate specification) GO:0001747(eye development (sensu Mammalia)) GO:0001755(neural crest cell migration) GO:0005515(protein binding) GO:0005615(extracellular space) GO:0006508(proteolysis) GO:0007154(cell communication) GO:0007165(signal transduction) GO:0007224(smoothened signaling pathway) GO:0007267(cell-cell signaling) GO:0007275(development) GO:0007389(pattern specification) GO:0007405(neuroblast proliferation) GO:0007411(axon guidance) GO:0007417(central nervous system development) GO:0007435(salivary gland morphogenesis) GO:0007507(heart development) GO:0008209(androgen metabolism) GO:0008233(peptidase activity) GO:0008284(positive regulation of cell proliferation) GO:0009790(embryonic development) GO:0009887(organ morphogenesis) GO:0009953(dorsal/ventral pattern formation) GO:0009986(cell surface) GO:0016020(membrane) GO:0016539(intein-mediated protein splicing) GO:0016787(hydrolase activity) GO:0030162(regulation of proteolysis) GO:0030324(lung development) GO:0030326(embryonic limb morphogenesis) GO:0030336(negative regulation of cell migration) GO:0030539(male genitalia development) GO:0030850(prostate gland development) GO:0030900(forebrain development) GO:0030901(midbrain development) GO:0030902(hindbrain development) GO:0042127(regulation of cell proliferation) GO:0042733(embryonic digit morphogenesis) GO:0043237(laminin-1 binding) GO:0045121(lipid raft) GO:0045596(negative regulation of cell differentiation) GO:0048468(cell development) GO:0048754(branching morphogenesis of a tube) EC 3
NM_025974	
NM_011789	
NM_008730	
NM_133761	
BB586520	
NM_009259	GO:0001562(response to protozoa) GO:0001808(negative regulation of type IV hypersensitivity) GO:0001931(uropod) GO:0005515(protein binding) GO:0005604(basement membrane) GO:0005615(extracellular space) GO:0005887(integral to plasma membrane) GO:0007162(negative regulation of cell adhesion) GO:0007166(cell surface receptor linked signal transduction) GO:0008367(bacterial binding) GO:0008624(induction of apoptosis by extracellular signals) GO:0009897(external side of plasma membrane) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0031295(T cell costimulation) GO:0042102(positive regulation of T cell proliferation) GO:0042130(negative regulation of T cell proliferation) GO:0042535(positive regulation of tumor necrosis factor-alpha biosynthesis) GO:0042742(defense response to bacteria) GO:0045060(negative thymic T cell selection) GO:0050688(regulation of antiviral response) GO:0050776(regulation of immune response) GO:0050868(negative regulation of T cell activation)
NM_008036	GO:0000074(regulation of progression through cell cycle) GO:0003677(DNA binding) GO:0004289(subtilase activity) GO:0005622(intracellular) GO:0005634(nucleus) GO:0006355(regulation of transcription, DNA-dependent) GO:0006508(proteolysis) GO:0043565(sequence-specific DNA binding) GO:0046983(protein dimerization activity) GO:0050875(cellular physiological process)
NM_011980	GO:0000004(biological process unknown) GO:0005554(molecular function unknown) GO:0008372(cellular component unknown)
AW012751	
NM_025777	
NM_008873	
NM_008873	
NM_033616	
NM_033616	
AF172256	GO:0000165(MAPKKK cascade) GO:0005515(protein binding) GO:0005615(extracellular space) GO:0005887(integral to plasma membrane) GO:0007155(cell adhesion) GO:0007254(JNK cascade) GO:0016020(membrane) GO:0016021(integral to membrane)
AF047716	GO:0005515(protein binding) GO:0005634(nucleus) GO:0007178(transmembrane receptor protein serine/threonine kinase signaling pathway) GO:0008104(protein localization) GO:0016020(membrane) GO:0016301(kinase activity) GO:0019901(protein kinase binding) GO:0051018(protein kinase A binding)
BC010404	
NM_010795	
NM_013661	GO:0001569(patterning of blood vessels) GO:0004872(receptor activity) GO:0007275(development) GO:0007399(nervous system development) GO:0007411(axon guidance) GO:0008046(axon guidance receptor activity) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0030154(cell differentiation) GO:0048754(branching morphogenesis of a tube)
BC003487	
NM_010770	GO:0005201(extracellular matrix structural constituent) GO:0005509(calcium ion binding) GO:0005518(collagen binding) GO:0005578(extracellular matrix (sensu Metazoa)) GO:0030198(extracellular matrix organization and biogenesis)
AB032770	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007095(mitotic G2 checkpoint) GO:0008285(negative regulation of cell proliferation) GO:0016563(transcriptional activator activity) GO:0043565(sequence-specific DNA binding) GO:0045941(positive regulation of transcription)
NM_008257	
NM_030719	
NM_010445	
NM_026853	
NM_008158	
BC015270	GO:0000070(mitotic sister chromatid segregation) GO:0000786(nucleosome) GO:0000788(nuclear nucleosome) GO:0000939(inner kinetochore of condensed chromosome) GO:0003677(DNA binding) GO:0005515(protein binding) GO:0005634(nucleus) GO:0006333(chromatin assembly or disassembly) GO:0006334(nucleosome assembly) GO:0009507(chloroplast) GO:0019237(centromeric DNA binding) GO:0030702(chromatin silencing at centromere) GO:0031134(sister chromatid biorientation) GO:0031508(centric heterochromatin formation) GO:0043505(centromere-specific nucleosome) GO:0051382(kinetochore assembly)
NM_008503	GO:0003735(structural constituent of ribosome) GO:0005622(intracellular) GO:0005830(cytosolic ribosome (sensu Eukaryota)) GO:0005840(ribosome) GO:0005843(cytosolic small ribosomal subunit (sensu Eukaryota)) GO:0006412(protein biosynthesis)
NM_008403	
NM_022319	GO:0005351(sugar porter activity) GO:0005509(calcium ion binding) GO:0005515(protein binding) GO:0005615(extracellular space) GO:0006874(calcium ion homeostasis) GO:0007155(cell adhesion) GO:0007156(homophilic cell adhesion) GO:0009401(phosphoenolpyruvate-dependent sugar phosphotransferase system) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0045211(postsynaptic membrane)
BC027049	
L22338	
NM_011426	
NM_007831	GO:0001764(neuron migration) GO:0004872(receptor activity) GO:0005021(vascular endothelial growth factor receptor activity) GO:0005515(protein binding) GO:0005524(ATP binding) GO:0005615(extracellular space) GO:0006468(protein amino acid phosphorylation) GO:0006915(apoptosis) GO:0007049(cell cycle) GO:0007155(cell adhesion) GO:0007275(development) GO:0007520(myoblast fusion) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0030424(axon) GO:0030528(transcription regulator activity) GO:0045296(cadherin binding) GO:0045449(regulation of transcription) GO:0045786(negative regulation of progression through cell cycle)
NM_008018	
X66603	GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0006355(regulation of transcription, DNA-dependent)
X66603	GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0006355(regulation of transcription, DNA-dependent)
AF350411	GO:0004888(transmembrane receptor activity) GO:0005515(protein binding) GO:0005529(sugar binding) GO:0005615(extracellular space) GO:0005887(integral to plasma membrane) GO:0009897(external side of plasma membrane) GO:0016021(integral to membrane) GO:0016066(cellular defense response (sensu Vertebrata)) GO:0042270(protection from natural killer cell mediated cytotoxicity) GO:0045671(negative regulation of osteoclast differentiation) GO:0046703(natural killer cell lectin-like receptor binding)
NM_009154	GO:0001569(patterning of blood vessels) GO:0004872(receptor activity) GO:0007275(development) GO:0007399(nervous system development) GO:0007411(axon guidance) GO:0008046(axon guidance receptor activity) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0030154(cell differentiation) GO:0048754(branching morphogenesis of a tube)
AY057913	GO:0001657(ureteric bud development) GO:0005515(protein binding) GO:0005615(extracellular space) GO:0006916(anti-apoptosis) GO:0007406(negative regulation of neuroblast proliferation) GO:0007412(axon target recognition) GO:0007631(feeding behavior) GO:0008038(neuron recognition) GO:0008083(growth factor activity) GO:0016023(cytoplasmic membrane-bound vesicle) GO:0016358(dendrite development) GO:0019222(regulation of metabolism) GO:0042490(mechanoreceptor differentiation) GO:0045666(positive regulation of neuron differentiation) GO:0046668(regulation of retinal programmed cell death)
AY057913	GO:0001657(ureteric bud development) GO:0005515(protein binding) GO:0005615(extracellular space) GO:0006916(anti-apoptosis) GO:0007406(negative regulation of neuroblast proliferation) GO:0007412(axon target recognition) GO:0007631(feeding behavior) GO:0008038(neuron recognition) GO:0008083(growth factor activity) GO:0016023(cytoplasmic membrane-bound vesicle) GO:0016358(dendrite development) GO:0019222(regulation of metabolism) GO:0042490(mechanoreceptor differentiation) GO:0045666(positive regulation of neuron differentiation) GO:0046668(regulation of retinal programmed cell death)
NM_017391	GO:0001656(metanephros development) GO:0005215(transporter activity) GO:0005351(sugar porter activity) GO:0005355(glucose transporter activity) GO:0005412(glucose:sodium symporter activity) GO:0005903(brush border) GO:0006810(transport) GO:0006811(ion transport) GO:0006814(sodium ion transport) GO:0015293(symporter activity) GO:0015758(glucose transport) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016324(apical plasma membrane) GO:0031402(sodium ion binding) GO:0050892(intestinal absorption)
NM_008962	GO:0001584(rhodopsin-like receptor activity) GO:0001785(prostaglandin J receptor activity) GO:0004871(signal transducer activity) GO:0004872(receptor activity) GO:0004930(G-protein coupled receptor activity) GO:0004955(prostaglandin receptor activity) GO:0004956(prostaglandin D receptor activity) GO:0004960(thromboxane receptor activity) GO:0007165(signal transduction) GO:0007186(G-protein coupled receptor protein signaling pathway) GO:0016020(membrane) GO:0016021(integral to membrane)
NM_029583	
AK020261	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0006006(glucose metabolism) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0006357(regulation of transcription from RNA polymerase II promoter) GO:0007275(development) GO:0016563(transcriptional activator activity) GO:0042127(regulation of cell proliferation) GO:0043565(sequence-specific DNA binding) GO:0045449(regulation of transcription)
AK020261	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0006006(glucose metabolism) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0006357(regulation of transcription from RNA polymerase II promoter) GO:0007275(development) GO:0016563(transcriptional activator activity) GO:0042127(regulation of cell proliferation) GO:0043565(sequence-specific DNA binding) GO:0045449(regulation of transcription)
NM_032006	GO:0000270(peptidoglycan metabolism) GO:0004222(metalloendopeptidase activity) GO:0004232(interstitial collagenase activity) GO:0005509(calcium ion binding) GO:0005578(extracellular matrix (sensu Metazoa)) GO:0006508(proteolysis) GO:0008133(collagenase activity) GO:0008233(peptidase activity) GO:0008237(metallopeptidase activity) GO:0008270(zinc ion binding) GO:0016787(hydrolase activity) GO:0030574(collagen catabolism) GO:0046872(metal ion binding) EC 3 EC 3.4.24 EC 3.4.24.7
AF263536	GO:0005104(fibroblast growth factor receptor binding) GO:0005615(extracellular space) GO:0008083(growth factor activity) GO:0030500(regulation of bone mineralization) GO:0030643(phosphate ion homeostasis)
BC003723	
NM_008998	
NM_008127	
NM_010781	GO:0004252(serine-type endopeptidase activity) GO:0005515(protein binding) GO:0005576(extracellular region) GO:0005615(extracellular space) GO:0006508(proteolysis) GO:0006954(inflammatory response) GO:0008201(heparin binding) GO:0008233(peptidase activity) GO:0016787(hydrolase activity) GO:0030019(tryptase activity) EC 3 EC 3.4.21 EC 3.4.21.59
NM_007724	GO:0000166(nucleotide binding) GO:0001750(photoreceptor outer segment) GO:0005216(ion channel activity) GO:0005221(intracellular cyclic nucleotide activated cation channel activity) GO:0005249(voltage-gated potassium channel activity) GO:0005267(potassium channel activity) GO:0005515(protein binding) GO:0005624(membrane fraction) GO:0006810(transport) GO:0006811(ion transport) GO:0006813(potassium ion transport) GO:0007600(sensory perception) GO:0007601(visual perception) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0030553(cGMP binding)
NM_013920	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0003707(steroid hormone receptor activity) GO:0004872(receptor activity) GO:0004879(ligand-dependent nuclear receptor activity) GO:0005496(steroid binding) GO:0005634(nucleus) GO:0005667(transcription factor complex) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0006366(transcription from RNA polymerase II promoter) GO:0008270(zinc ion binding) GO:0016563(transcriptional activator activity) GO:0043565(sequence-specific DNA binding) GO:0045944(positive regulation of transcription from RNA polymerase II promoter) GO:0046872(metal ion binding)
